id	effectiveTime	active	moduleId	definitionStatusId
64851009	20160131	1	900000000000207008	900000000000073002
65494001	20160131	0	900000000000207008	900000000000074008
65974003	20160131	1	900000000000207008	900000000000074008
66261008	20160131	1	900000000000207008	900000000000073002
66291003	20160131	1	900000000000207008	900000000000073002
66859009	20160131	1	900000000000207008	900000000000073002
66919007	20160131	1	900000000000207008	900000000000073002
66971004	20160131	1	900000000000207008	900000000000073002
67258004	20160131	0	900000000000207008	900000000000074008
67423003	20160131	1	900000000000207008	900000000000073002
67430009	20160131	0	900000000000207008	900000000000074008
67440007	20160131	1	900000000000207008	900000000000073002
67507000	20160131	1	900000000000207008	900000000000073002
67891001	20160131	1	900000000000207008	900000000000073002
68088000	20160131	1	900000000000207008	900000000000073002
68402007	20160131	1	900000000000207008	900000000000073002
68422006	20160131	1	900000000000207008	900000000000073002
68490009	20160131	1	900000000000207008	900000000000073002
68605000	20160131	1	900000000000207008	900000000000073002
68774008	20160131	1	900000000000207008	900000000000073002
68892006	20160131	1	900000000000207008	900000000000073002
69013005	20160131	1	900000000000207008	900000000000073002
69204002	20160131	1	900000000000207008	900000000000073002
69227005	20160131	1	900000000000207008	900000000000073002
69236009	20160131	1	900000000000207008	900000000000073002
69331001	20160131	1	900000000000207008	900000000000073002
69918003	20160131	1	900000000000207008	900000000000073002
70036007	20160131	1	900000000000207008	900000000000073002
70047000	20160131	1	900000000000207008	900000000000073002
70126001	20160131	0	900000000000207008	900000000000074008
70233007	20160131	1	900000000000207008	900000000000073002
70254000	20160131	1	900000000000207008	900000000000073002
70390005	20160131	0	900000000000207008	900000000000074008
70510005	20160131	0	900000000000207008	900000000000074008
70700003	20160131	0	900000000000207008	900000000000074008
70983007	20160131	0	900000000000207008	900000000000074008
71451001	20160131	1	900000000000207008	900000000000073002
71453003	20160131	1	900000000000207008	900000000000073002
71870004	20160131	0	900000000000207008	900000000000074008
71943007	20160131	1	900000000000207008	900000000000073002
72057009	20160131	1	900000000000207008	900000000000074008
72277008	20160131	0	900000000000207008	900000000000074008
72312007	20160131	1	900000000000207008	900000000000073002
72398005	20160131	1	900000000000207008	900000000000073002
72416006	20160131	1	900000000000207008	900000000000073002
72428003	20160131	0	900000000000207008	900000000000074008
72785003	20160131	0	900000000000207008	900000000000074008
72824008	20160131	1	900000000000207008	900000000000073002
72924009	20160131	1	900000000000207008	900000000000073002
73074003	20160131	1	900000000000207008	900000000000073002
73093001	20160131	1	900000000000207008	900000000000073002
73363000	20160131	1	900000000000207008	900000000000073002
73763003	20160131	1	900000000000207008	900000000000073002
73774007	20160131	1	900000000000207008	900000000000073002
73986003	20160131	1	900000000000207008	900000000000073002
74109000	20160131	0	900000000000207008	900000000000074008
74213004	20160131	1	900000000000207008	900000000000073002
74387008	20160131	1	900000000000207008	900000000000073002
74575000	20160131	1	900000000000207008	900000000000073002
74583006	20160131	1	900000000000207008	900000000000073002
74689003	20160131	0	900000000000207008	900000000000074008
74771007	20160131	1	900000000000207008	900000000000073002
75333007	20160131	1	900000000000207008	900000000000073002
75385009	20160131	1	900000000000207008	900000000000073002
75542001	20160131	1	900000000000207008	900000000000073002
75683007	20160131	1	900000000000207008	900000000000074008
76058001	20160131	1	900000000000207008	900000000000073002
76090006	20160131	1	900000000000207008	900000000000073002
76352006	20160131	0	900000000000207008	900000000000074008
76385003	20160131	1	900000000000207008	900000000000073002
76390000	20160131	1	900000000000207008	900000000000073002
76531002	20160131	0	900000000000207008	900000000000074008
76644002	20160131	0	900000000000207008	900000000000074008
76759004	20160131	1	900000000000207008	900000000000073002
76902006	20160131	1	900000000000207008	900000000000073002
77035009	20160131	1	900000000000207008	900000000000073002
77070006	20160131	0	900000000000207008	900000000000074008
77456003	20160131	1	900000000000207008	900000000000073002
77856005	20160131	1	900000000000207008	900000000000073002
77860008	20160131	1	900000000000207008	900000000000073002
78025001	20160131	1	900000000000207008	900000000000073002
78174002	20160131	1	900000000000207008	900000000000073002
78179007	20160131	0	900000000000207008	900000000000074008
78379001	20160131	1	900000000000207008	900000000000073002
78380003	20160131	0	900000000000207008	900000000000074008
78466009	20160131	0	900000000000207008	900000000000074008
78507004	20160131	1	900000000000207008	900000000000073002
78868004	20160131	1	900000000000207008	900000000000073002
79138004	20160131	1	900000000000207008	900000000000073002
79419000	20160131	0	900000000000207008	900000000000074008
79736009	20160131	1	900000000000207008	900000000000073002
79808008	20160131	1	900000000000207008	900000000000073002
80003002	20160131	1	900000000000207008	900000000000073002
80066008	20160131	1	900000000000207008	900000000000073002
80229008	20160131	1	900000000000207008	900000000000073002
80337002	20160131	1	900000000000207008	900000000000073002
80466000	20160131	1	900000000000207008	900000000000073002
80732005	20160131	1	900000000000207008	900000000000073002
80912002	20160131	0	900000000000207008	900000000000074008
81088002	20160131	1	900000000000207008	900000000000073002
81102000	20160131	0	900000000000207008	900000000000074008
81164001	20160131	1	900000000000207008	900000000000073002
81252003	20160131	1	900000000000207008	900000000000073002
81311005	20160131	0	900000000000207008	900000000000074008
81335000	20160131	1	900000000000207008	900000000000073002
81609008	20160131	1	900000000000207008	900000000000073002
81947000	20160131	1	900000000000207008	900000000000073002
82165003	20160131	1	900000000000207008	900000000000073002
